GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Margin of Error; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Margin of Error; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Margin of Error; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Margin of Error; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Margin of Error; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Margin of Error; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Margin of Error; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Margin of Error; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Margin of Error; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Margin of Error; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Margin of Error; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Margin of Error; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US170313016002,170313016002,"Block Group 2, Census Tract 3016, Cook County, Illinois",2080,542,11,19,11,19,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,2069,546,1636,548,0,11,0,11,0,11,0,11,415,206,18,28,18,28,0,11
1500000US170313017011,170313017011,"Block Group 1, Census Tract 3017.01, Cook County, Illinois",922,375,5,6,3,4,2,4,0,11,0,11,0,11,0,11,0,11,0,11,0,11,917,374,667,326,0,11,0,11,0,11,0,11,250,227,0,11,0,11,0,11
1500000US170313017012,170313017012,"Block Group 2, Census Tract 3017.01, Cook County, Illinois",1830,485,72,119,72,119,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,1758,487,1637,488,0,11,0,11,0,11,0,11,121,135,0,11,0,11,0,11
1500000US170313017013,170313017013,"Block Group 3, Census Tract 3017.01, Cook County, Illinois",992,453,70,98,70,98,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,922,443,904,443,0,11,0,11,0,11,0,11,18,24,0,11,0,11,0,11
1500000US170313017021,170313017021,"Block Group 1, Census Tract 3017.02, Cook County, Illinois",1061,321,9,14,9,14,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,1052,319,997,330,0,11,0,11,0,11,0,11,55,68,0,11,0,11,0,11
1500000US170313017022,170313017022,"Block Group 2, Census Tract 3017.02, Cook County, Illinois",1480,425,57,57,57,57,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,1423,431,930,333,0,11,0,11,0,11,0,11,493,337,0,11,0,11,0,11
1500000US170313017023,170313017023,"Block Group 3, Census Tract 3017.02, Cook County, Illinois",1153,322,33,38,33,38,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,1120,319,745,285,0,11,0,11,0,11,0,11,375,248,0,11,0,11,0,11
1500000US170313018011,170313018011,"Block Group 1, Census Tract 3018.01, Cook County, Illinois",1197,495,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,1197,495,722,322,0,11,0,11,0,11,0,11,475,450,0,11,0,11,0,11
1500000US170313018012,170313018012,"Block Group 2, Census Tract 3018.01, Cook County, Illinois",3049,552,341,326,60,42,281,318,0,11,0,11,0,11,0,11,0,11,0,11,0,11,2708,575,2439,575,0,11,0,11,0,11,0,11,269,231,0,11,0,11,0,11
1500000US170313018021,170313018021,"Block Group 1, Census Tract 3018.02, Cook County, Illinois",820,207,23,29,17,22,0,11,0,11,0,11,0,11,0,11,6,8,0,11,6,8,797,205,499,209,0,11,0,11,0,11,0,11,289,163,9,14,0,11,9,14
1500000US170313018022,170313018022,"Block Group 2, Census Tract 3018.02, Cook County, Illinois",1081,349,15,19,2,6,13,19,0,11,0,11,0,11,0,11,0,11,0,11,0,11,1066,350,787,297,0,11,0,11,0,11,0,11,279,362,0,11,0,11,0,11
1500000US170313018023,170313018023,"Block Group 3, Census Tract 3018.02, Cook County, Illinois",996,347,21,26,21,26,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,975,348,634,292,0,11,15,26,0,11,0,11,310,274,16,26,16,26,0,11
1500000US170313018031,170313018031,"Block Group 1, Census Tract 3018.03, Cook County, Illinois",1539,430,153,184,38,27,115,182,0,11,0,11,0,11,0,11,0,11,0,11,0,11,1386,453,1096,416,0,11,0,11,0,11,0,11,290,203,0,11,0,11,0,11
1500000US170313018032,170313018032,"Block Group 2, Census Tract 3018.03, Cook County, Illinois",2399,612,48,51,25,29,0,11,0,11,12,22,0,11,0,11,11,17,11,17,0,11,2351,611,1265,542,0,11,0,11,0,11,0,11,1050,430,36,57,36,57,0,11
1500000US170313018033,170313018033,"Block Group 3, Census Tract 3018.03, Cook County, Illinois",1116,404,13,20,13,20,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,1103,411,677,355,0,11,0,11,0,11,0,11,347,268,79,124,19,30,60,94
1500000US170313102001,170313102001,"Block Group 1, Census Tract 3102, Cook County, Illinois",831,168,260,109,214,98,18,26,0,11,5,8,0,11,0,11,23,37,0,11,23,37,571,151,383,158,0,11,0,11,0,11,0,11,188,91,0,11,0,11,0,11
