GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59,HD01_VD60,HD02_VD60,HD01_VD61,HD02_VD61,HD01_VD62,HD02_VD62,HD01_VD63,HD02_VD63,HD01_VD64,HD02_VD64,HD01_VD65,HD02_VD65,HD01_VD66,HD02_VD66,HD01_VD67,HD02_VD67,HD01_VD68,HD02_VD68,HD01_VD69,HD02_VD69,HD01_VD70,HD02_VD70,HD01_VD71,HD02_VD71,HD01_VD72,HD02_VD72,HD01_VD73,HD02_VD73,HD01_VD74,HD02_VD74,HD01_VD75,HD02_VD75,HD01_VD76,HD02_VD76,HD01_VD77,HD02_VD77,HD01_VD78,HD02_VD78,HD01_VD79,HD02_VD79,HD01_VD80,HD02_VD80,HD01_VD81,HD02_VD81,HD01_VD82,HD02_VD82,HD01_VD83,HD02_VD83,HD01_VD84,HD02_VD84,HD01_VD85,HD02_VD85,HD01_VD86,HD02_VD86,HD01_VD87,HD02_VD87,HD01_VD88,HD02_VD88,HD01_VD89,HD02_VD89,HD01_VD90,HD02_VD90,HD01_VD91,HD02_VD91,HD01_VD92,HD02_VD92,HD01_VD93,HD02_VD93,HD01_VD94,HD02_VD94,HD01_VD95,HD02_VD95,HD01_VD96,HD02_VD96,HD01_VD97,HD02_VD97,HD01_VD98,HD02_VD98,HD01_VD99,HD02_VD99,HD01_VD100,HD02_VD100,HD01_VD101,HD02_VD101,HD01_VD102,HD02_VD102,HD01_VD103,HD02_VD103,HD01_VD104,HD02_VD104,HD01_VD105,HD02_VD105,HD01_VD106,HD02_VD106,HD01_VD107,HD02_VD107,HD01_VD108,HD02_VD108,HD01_VD109,HD02_VD109
1400000US17031823705,17031823705,"Census Tract 8237.05, Cook County, Illinois",4790,400,0,11,0,11,0,11,85,70,581,360,0,11,0,11,0,11,0,11,0,11,0,11,0,11,520,365,61,73,0,11,0,11,0,11,7,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,45,33,0,11,10,15,7,12,0,11,78,52,0,11,36,52,0,11,18,20,21,36,235,105,0,11,41,37,0,11,0,11,0,11,0,11,496,213,0,11,323,161,0,11,172,162,0,11,0,11,0,11,0,11,0,11,8,13,0,11,1302,336,7,17,0,11,9,15,0,11,0,11,9,13,0,11,0,11,36,28,10,16,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,12,17,0,11,31,49,0,11,8,12,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,869,284,334,163
1400000US17031823801,17031823801,"Census Tract 8238.01, Cook County, Illinois",5586,326,0,16,0,16,0,16,73,70,579,462,0,16,0,16,173,272,0,16,0,16,0,16,0,16,42,57,364,417,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,76,61,0,16,0,16,101,111,20,32,120,63,0,16,37,44,0,16,60,45,0,16,572,183,0,16,166,154,0,16,0,16,0,16,0,16,866,221,0,16,419,176,0,16,221,228,0,16,0,16,0,16,0,16,0,16,40,50,0,16,958,292,0,16,0,16,0,16,0,16,73,95,13,22,0,16,0,16,49,80,18,28,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,82,60,0,16,0,16,59,71,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,711,432,273,155
1400000US17031823803,17031823803,"Census Tract 8238.03, Cook County, Illinois",7298,397,0,16,0,16,0,16,41,50,801,510,160,265,0,16,52,84,0,16,0,16,352,308,0,16,237,316,0,16,0,16,0,16,0,16,5,10,0,16,0,16,0,16,0,16,0,16,0,16,5,11,0,16,0,16,77,70,0,16,223,145,13,19,15,24,116,171,22,36,104,111,0,16,0,16,0,16,27,31,12,19,629,283,0,16,443,219,0,16,42,56,0,16,0,16,636,228,0,16,397,175,0,16,344,287,6,11,0,16,0,16,0,16,0,16,0,16,0,16,1392,465,0,16,0,16,204,284,50,80,0,16,22,36,18,28,0,16,11,19,0,16,0,16,4,11,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,4,11,0,16,35,56,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,1114,403,490,266
1400000US17031823805,17031823805,"Census Tract 8238.05, Cook County, Illinois",2952,224,0,11,0,11,0,11,77,57,323,245,0,11,0,11,38,67,0,11,0,11,0,11,0,11,285,261,0,11,0,11,0,11,0,11,0,11,0,11,12,19,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,7,11,0,11,32,32,0,11,72,56,0,11,0,11,0,11,50,48,0,11,176,71,0,11,50,47,0,11,0,11,0,11,0,11,502,197,0,11,261,131,0,11,43,43,0,11,0,11,0,11,0,11,0,11,0,11,0,11,786,298,0,11,0,11,0,11,0,11,20,25,18,22,7,12,0,11,14,24,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,12,18,8,12,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,7,13,208,179,267,200
1400000US17031823806,17031823806,"Census Tract 8238.06, Cook County, Illinois",3485,183,0,11,0,11,0,11,61,57,232,215,41,64,0,11,0,11,0,11,0,11,138,191,0,11,53,86,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,10,15,0,11,17,28,0,11,0,11,0,11,0,11,33,28,20,24,20,19,68,63,0,11,11,17,0,11,48,54,0,11,0,11,0,11,269,107,0,11,21,25,0,11,0,11,0,11,0,11,451,149,0,11,264,152,0,11,49,50,0,11,0,11,0,11,0,11,0,11,17,27,0,11,861,245,0,11,0,11,0,11,0,11,11,16,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,23,25,6,10,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,433,184,560,270
1400000US17031823901,17031823901,"Census Tract 8239.01, Cook County, Illinois",3932,316,0,11,10,17,0,11,31,35,112,102,0,11,0,11,0,11,10,15,0,11,31,35,0,11,64,99,7,11,16,26,0,11,0,11,16,18,0,11,13,20,0,11,0,11,0,11,0,11,0,11,0,11,0,11,39,48,0,11,26,28,0,11,10,16,129,126,0,11,112,77,7,11,17,19,0,11,26,24,0,11,431,142,0,11,91,100,0,11,20,23,0,11,0,11,725,241,0,11,392,183,0,11,139,104,0,11,0,11,0,11,0,11,0,11,51,50,0,11,433,151,0,11,0,11,8,13,0,11,11,17,25,24,5,9,0,11,111,142,8,13,0,11,4,9,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,4,9,0,11,103,76,21,22,0,11,13,19,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,13,22,416,158,348,228
1400000US17031823903,17031823903,"Census Tract 8239.03, Cook County, Illinois",4534,243,0,11,0,11,0,11,119,79,5,11,0,11,0,11,0,11,0,11,5,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,22,24,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,114,164,0,11,298,290,74,84,0,11,140,107,10,15,150,91,0,11,54,55,12,19,19,23,0,11,472,147,0,11,120,65,0,11,17,22,0,11,0,11,524,156,0,11,547,216,0,11,158,98,0,11,0,11,0,11,0,11,0,11,0,11,0,11,672,291,0,11,10,21,5,10,0,11,7,12,49,39,0,11,0,11,3,8,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,107,79,10,16,0,11,9,14,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,391,206,416,199
1400000US17031823904,17031823904,"Census Tract 8239.04, Cook County, Illinois",3981,241,0,11,0,11,0,11,122,88,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,10,16,0,11,0,11,19,22,0,11,0,11,0,11,21,34,16,28,0,11,19,28,0,11,0,11,20,22,0,11,46,43,0,11,9,13,143,88,19,29,53,34,0,11,7,11,0,11,9,13,0,11,453,156,0,11,76,60,0,11,15,18,0,11,0,11,957,250,0,11,287,121,0,11,172,151,0,11,0,11,0,11,0,11,0,11,9,15,0,11,612,214,21,23,38,62,0,11,0,11,0,11,38,34,0,11,0,11,24,25,0,11,0,11,1,2,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,1,2,0,11,88,45,25,27,0,11,8,11,7,10,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,350,214,287,154
1400000US17031824003,17031824003,"Census Tract 8240.03, Cook County, Illinois",5947,455,0,16,0,16,0,16,157,129,54,85,0,16,14,21,0,16,0,16,0,16,40,64,0,16,0,16,0,16,24,39,8,18,0,16,18,30,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,250,283,0,16,90,100,31,48,16,26,82,52,0,16,72,58,0,16,16,28,0,16,55,43,28,35,652,238,0,16,55,89,0,16,0,16,0,16,0,16,839,396,0,16,574,252,0,16,495,319,0,16,0,16,0,16,0,16,0,16,36,58,0,16,1394,419,0,16,0,16,28,43,0,16,0,16,0,16,0,16,0,16,0,16,16,28,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,104,82,15,24,0,16,70,91,44,63,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,435,239,289,160
1400000US17031824004,17031824004,"Census Tract 8240.04, Cook County, Illinois",5464,641,0,16,0,16,0,16,98,113,18,30,0,16,0,16,0,16,0,16,0,16,0,16,0,16,10,16,8,14,0,16,0,16,0,16,0,16,0,16,0,16,0,16,22,35,0,16,0,16,22,29,0,16,0,16,140,163,0,16,98,99,14,23,9,14,15,26,0,16,124,74,0,16,0,16,0,16,33,35,0,16,377,179,0,16,27,31,0,16,0,16,0,16,0,16,878,337,0,16,566,296,0,16,185,121,0,16,110,120,0,16,0,16,0,16,17,29,0,16,1077,327,0,16,30,50,16,26,0,16,47,75,0,16,258,372,0,16,31,34,29,49,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,132,118,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,14,21,577,331,500,242
