b04001_code,b04001_description,b04001_short,b03002_code,b03002_description,,b03002_short
HD01_VD01,Estimate; Total:,total,HD01_VD01,Estimate; Total:,,total
HD01_VD52,Estimate; Total: - Latvian,Latvian,HD01_VD03,Estimate; Not Hispanic or Latino: - White alone,,White
HD01_VD53,Estimate; Total: - Lithuanian,Lithuanian,HD01_VD03,Estimate; Not Hispanic or Latino: - White alone,,White
HD01_VD54,Estimate; Total: - Luxemburger,Luxemburger,HD01_VD03,Estimate; Not Hispanic or Latino: - White alone,,White
HD01_VD55,Estimate; Total: - Macedonian,Macedonian,HD01_VD03,Estimate; Not Hispanic or Latino: - White alone,,White
HD01_VD56,Estimate; Total: - Maltese,Maltese,HD01_VD03,Estimate; Not Hispanic or Latino: - White alone,,White
HD01_VD57,Estimate; Total: - New Zealander,New Zealander,HD01_VD03,Estimate; Not Hispanic or Latino: - White alone,,White
HD01_VD58,Estimate; Total: - Northern European,Northern European,HD01_VD03,Estimate; Not Hispanic or Latino: - White alone,,White
HD01_VD59,Estimate; Total: - Norwegian,Norwegian,HD01_VD03,Estimate; Not Hispanic or Latino: - White alone,,White
HD01_VD108,Estimate; Total: - Other groups,Other groups,HD01_VD08,Estimate; Not Hispanic or Latino: - Some other race alone,,Other
HD01_VD60,Estimate; Total: - Pennsylvania German,Pennsylvania German,HD01_VD03,Estimate; Not Hispanic or Latino: - White alone,,White
HD01_VD61,Estimate; Total: - Polish,Polish,HD01_VD03,Estimate; Not Hispanic or Latino: - White alone,,White
HD01_VD62,Estimate; Total: - Portuguese,Portuguese,HD01_VD03,Estimate; Not Hispanic or Latino: - White alone,,White
HD01_VD63,Estimate; Total: - Romanian,Romanian,HD01_VD03,Estimate; Not Hispanic or Latino: - White alone,,White
HD01_VD64,Estimate; Total: - Russian,Russian,HD01_VD03,Estimate; Not Hispanic or Latino: - White alone,,White
HD01_VD65,Estimate; Total: - Scandinavian,Scandinavian,HD01_VD03,Estimate; Not Hispanic or Latino: - White alone,,White
HD01_VD66,Estimate; Total: - Scotch-Irish,Scotch-Irish,HD01_VD03,Estimate; Not Hispanic or Latino: - White alone,,White
HD01_VD67,Estimate; Total: - Scottish,Scottish,HD01_VD03,Estimate; Not Hispanic or Latino: - White alone,,White
